bug_id,au_result,my_result
Jsoup-43,test passed,test passed
Gson-6,test passed,test passed
Math-24,compile error,compile error
Closure-119,test failed,test failed
Codec-7,test passed,test passed
Compress-1,test failed,test failed
Collections-26,test passed,test passed
JacksonDatabind-102,test passed,compile error
Closure-77,test passed,test passed
Closure-69,test failed,test failed
Compress-7,test passed,test failed
Time-17,test passed,test passed
Math-11,test passed,test passed
Chart-6,test failed,test failed
Closure-39,compile error,test failed
Compress-16,test failed,test failed
Codec-15,test failed,test failed
Math-87,test failed,test failed
Jsoup-32,test failed,test failed
Chart-4,test passed,test passed
Math-39,test failed,test failed
JacksonCore-11,test failed,test failed
Closure-114,test failed,compile error
Jsoup-86,test passed,test passed
Closure-146,test failed,test failed
Closure-17,test failed,test failed
Compress-15,test passed,test passed
Chart-7,test passed,test passed
Closure-22,test failed,compile error
Compress-31,test passed,test passed
Math-59,test passed,test passed
Lang-27,test failed,test failed
Jsoup-46,test passed,test passed
JacksonCore-26,test failed,test failed
Time-20,test passed,test failed
JacksonDatabind-96,test passed,test failed
Csv-1,test failed,test failed
Closure-58,test failed,test failed
Lang-55,test failed,test failed
Mockito-7,test failed,test failed
JacksonXml-5,test failed,compile error
